,Date/Time,Lat,Lon,Base
640375,9/29/2014 21:19:00,40.7152,-74.016,B02617
261342,9/29/2014 4:48:00,40.741,-73.9786,B02598
884615,9/9/2014 10:30:00,40.7544,-73.9792,B02764
877003,9/7/2014 13:39:00,40.7075,-73.9472,B02764
789843,9/21/2014 0:00:00,40.729,-73.9904,B02682
440797,9/13/2014 16:20:00,40.885,-73.9007,B02617
512603,9/19/2014 7:07:00,40.732,-73.9982,B02617
145810,9/14/2014 10:19:00,40.8484,-73.9377,B02598
118973,9/11/2014 15:28:00,40.7034,-74.0098,B02598
915908,9/14/2014 17:02:00,40.6891,-73.9861,B02764
724716,9/11/2014 20:20:00,40.7599,-73.9824,B02682
1002991,9/27/2014 17:40:00,40.7607,-73.9611,B02764
903376,9/12/2014 19:39:00,40.7565,-73.9904,B02764
157654,9/16/2014 5:21:00,40.7786,-73.9884,B02598
837281,9/28/2014 18:48:00,40.6418,-73.7879,B02682
239342,9/26/2014 8:00:00,40.7259,-74.0029,B02598
204541,9/21/2014 9:03:00,40.7538,-73.9977,B02598
210867,9/22/2014 9:27:00,40.6848,-73.9855,B02598
819121,9/25/2014 22:02:00,40.7547,-73.9259,B02682
252875,9/27/2014 20:30:00,40.7114,-73.953,B02598
410109,9/11/2014 14:32:00,40.7788,-73.982,B02617
272181,9/30/2014 17:25:00,40.7642,-73.956,B02598
86948,9/7/2014 14:44:00,40.7603,-73.7878,B02598
57843,9/4/2014 14:39:00,40.6415,-73.7879,B02598
996398,9/26/2014 22:02:00,40.6776,-73.9828,B02764
702496,9/8/2014 15:51:00,40.6944,-73.9711,B02682
642736,9/30/2014 7:08:00,40.7732,-73.9547,B02617
196347,9/20/2014 12:35:00,40.5577,-74.2627,B02598
475519,9/16/2014 13:07:00,40.7896,-73.9482,B02617
1024827,9/30/2014 16:27:00,40.7751,-73.9608,B02764
775360,9/19/2014 6:45:00,40.7136,-73.9867,B02682
481882,9/16/2014 21:00:00,40.6888,-73.9784,B02617
351279,9/6/2014 20:46:00,40.726,-73.9836,B02617
906692,9/13/2014 9:56:00,40.7643,-73.9832,B02764
141792,9/13/2014 20:21:00,40.7136,-74.009,B02598
433912,9/13/2014 1:13:00,40.6505,-73.9643,B02617
9770,9/8/2014 15:30:00,40.7303,-73.9983,B02512
592957,9/25/2014 21:34:00,40.7481,-73.9468,B02617
292094,9/2/2014 19:32:00,40.7599,-73.9652,B02617
268144,9/30/2014 6:43:00,40.6602,-73.9842,B02598
606554,9/26/2014 23:08:00,40.7268,-73.9873,B02617
378199,9/9/2014 0:03:00,40.7604,-73.9812,B02617
832874,9/27/2014 23:31:00,40.7375,-74.0048,B02682
449445,9/14/2014 0:52:00,40.7111,-73.9653,B02617
584929,9/25/2014 9:47:00,40.7224,-73.944,B02617
244168,9/26/2014 19:47:00,40.7128,-74.0075,B02598
709953,9/9/2014 18:14:00,40.6778,-73.9756,B02682
136358,9/13/2014 12:35:00,40.7258,-74.0066,B02598
602592,9/26/2014 18:48:00,40.7824,-73.9506,B02617
260044,9/28/2014 19:37:00,40.7578,-73.9658,B02598
448876,9/14/2014 0:06:00,40.6452,-73.9742,B02617
54632,9/4/2014 6:08:00,40.7211,-74.0043,B02598
474556,9/16/2014 11:01:00,40.7745,-73.9823,B02617
572449,9/24/2014 9:04:00,40.6896,-73.9735,B02617
221466,9/23/2014 21:00:00,40.804,-73.9574,B02598
852125,9/1/2014 18:33:00,40.8182,-73.9607,B02764
621301,9/28/2014 0:49:00,40.7403,-74.0058,B02617
788645,9/20/2014 21:33:00,40.7293,-74.0037,B02682
113567,9/10/2014 20:37:00,40.752,-73.9934,B02598
907785,9/13/2014 14:04:00,40.7327,-73.9876,B02764
767501,9/18/2014 6:46:00,40.7772,-73.9754,B02682
541483,9/21/2014 7:28:00,40.716,-73.9391,B02617
370960,9/8/2014 12:56:00,40.7624,-73.9723,B02617
42580,9/2/2014 15:26:00,40.6731,-73.9785,B02598
295306,9/3/2014 6:03:00,40.6796,-73.9478,B02617
493379,9/17/2014 19:46:00,40.7444,-73.9888,B02617
612754,9/27/2014 15:11:00,40.611,-74.0325,B02617
268045,9/30/2014 6:27:00,40.776,-73.9632,B02598
531581,9/20/2014 15:58:00,40.7397,-73.999,B02617
304553,9/3/2014 19:45:00,40.7083,-73.9528,B02617
150611,9/15/2014 3:55:00,40.8458,-73.9416,B02598
813473,9/25/2014 7:26:00,40.7685,-73.9615,B02682
564214,9/23/2014 15:12:00,40.7706,-73.9622,B02617
992838,9/26/2014 16:38:00,40.6447,-73.782,B02764
582136,9/25/2014 6:22:00,40.783,-73.9783,B02617
522226,9/19/2014 20:39:00,40.7436,-73.9829,B02617
336727,9/5/2014 21:32:00,40.6608,-73.9795,B02617
487633,9/17/2014 12:42:00,40.7785,-73.9823,B02617
700581,9/8/2014 9:06:00,40.7347,-73.9795,B02682
242912,9/26/2014 17:45:00,40.7604,-73.9733,B02598
154376,9/15/2014 16:15:00,40.7602,-73.97,B02598
737430,9/13/2014 15:42:00,40.7427,-73.9803,B02682
62631,9/4/2014 22:02:00,40.7289,-74.0007,B02598
266245,9/29/2014 19:41:00,40.7556,-73.986,B02598
146340,9/14/2014 12:10:00,40.6721,-73.9837,B02598
508749,9/18/2014 21:19:00,40.7551,-73.9838,B02617
321879,9/4/2014 22:40:00,40.7372,-74.0015,B02617
73382,9/5/2014 23:48:00,40.7517,-74.0013,B02598
669757,9/4/2014 8:03:00,40.7684,-73.9532,B02682
823188,9/26/2014 17:23:00,40.7248,-74.0006,B02682
191061,9/19/2014 19:46:00,40.6458,-73.7766,B02598
1001051,9/27/2014 14:11:00,40.7457,-73.9467,B02764
689784,9/6/2014 18:06:00,40.7033,-73.9887,B02682
394291,9/10/2014 9:20:00,40.7165,-74.013,B02617
608154,9/27/2014 1:48:00,40.6644,-73.9611,B02617
818419,9/25/2014 20:11:00,40.7213,-74.0035,B02682
807117,9/24/2014 6:11:00,40.7997,-73.9553,B02682
656040,9/1/2014 21:42:00,40.6594,-73.9766,B02682
919072,9/15/2014 11:01:00,40.7112,-73.9476,B02764
579412,9/24/2014 20:37:00,40.7142,-74.0065,B02617
229669,9/25/2014 3:24:00,40.7596,-73.9261,B02598
800086,9/22/2014 20:12:00,40.726,-73.9917,B02682
1010483,9/28/2014 13:42:00,40.7853,-73.9801,B02764
636154,9/29/2014 14:37:00,40.7642,-73.9867,B02617
555439,9/22/2014 17:17:00,40.7629,-73.9742,B02617
933576,9/17/2014 19:50:00,40.7193,-74.0063,B02764
535012,9/20/2014 19:45:00,40.7253,-73.9894,B02617
601379,9/26/2014 17:34:00,40.7631,-73.961,B02617
210859,9/22/2014 9:24:00,40.7207,-73.9843,B02598
192582,9/19/2014 22:03:00,40.7499,-73.9914,B02598
748222,9/15/2014 7:43:00,40.7331,-73.9754,B02682
415535,9/11/2014 20:10:00,40.6837,-73.9679,B02617
47160,9/3/2014 8:10:00,40.8847,-73.9083,B02598
197413,9/20/2014 15:17:00,40.7393,-74.0081,B02598
173544,9/17/2014 21:43:00,40.763,-73.9897,B02598
557628,9/22/2014 20:35:00,40.7224,-73.9975,B02617
1021683,9/30/2014 7:43:00,40.7592,-73.996,B02764
166838,9/17/2014 7:03:00,40.7597,-73.9228,B02598
536276,9/20/2014 21:16:00,40.7554,-73.9181,B02617
430980,9/12/2014 21:48:00,40.7561,-73.9833,B02617
33579,9/30/2014 8:26:00,40.7339,-73.9899,B02512
553588,9/22/2014 14:13:00,40.7565,-73.9943,B02617
410955,9/11/2014 15:41:00,40.7421,-73.9893,B02617
657950,9/2/2014 9:43:00,40.7423,-73.9728,B02682
193800,9/20/2014 0:04:00,40.7268,-73.9852,B02598
826730,9/27/2014 2:22:00,40.743,-74.0061,B02682
221845,9/23/2014 21:55:00,40.6831,-73.9766,B02598
970677,9/23/2014 14:10:00,40.8511,-73.8457,B02764
332300,9/5/2014 17:48:00,41.0197,-73.724,B02617
709405,9/9/2014 17:08:00,40.7628,-73.9778,B02682
566248,9/23/2014 18:06:00,40.758,-73.9622,B02617
916830,9/14/2014 19:48:00,40.6449,-73.7821,B02764
573668,9/24/2014 11:50:00,40.7614,-73.969,B02617
780592,9/19/2014 20:06:00,40.6752,-73.9667,B02682
536853,9/20/2014 21:55:00,40.773,-73.9587,B02617
491245,9/17/2014 17:35:00,40.751,-74.0055,B02617
828871,9/27/2014 14:25:00,40.7325,-73.9877,B02682
966426,9/22/2014 17:26:00,40.7499,-73.9784,B02764
65890,9/5/2014 10:52:00,40.7283,-73.9796,B02598
889279,9/10/2014 8:46:00,40.7487,-73.9901,B02764
978452,9/24/2014 17:44:00,40.7525,-74.0059,B02764
863330,9/4/2014 19:15:00,40.7616,-73.9703,B02764
472609,9/16/2014 8:18:00,40.7157,-74.004,B02617
472727,9/16/2014 8:25:00,40.6437,-73.9677,B02617
560194,9/23/2014 6:48:00,40.6822,-73.9869,B02617
410524,9/11/2014 15:08:00,40.7794,-73.9455,B02617
713757,9/10/2014 9:44:00,40.7639,-73.9693,B02682
648274,9/30/2014 17:06:00,40.7699,-73.8642,B02617
628202,9/28/2014 17:33:00,40.7596,-73.9805,B02617
543550,9/21/2014 13:08:00,40.7422,-74.0007,B02617
935461,9/18/2014 6:32:00,40.7199,-73.9832,B02764
435683,9/13/2014 8:33:00,40.7754,-73.984,B02617
371886,9/8/2014 14:41:00,40.7712,-73.9823,B02617
983989,9/25/2014 12:53:00,40.8462,-73.9426,B02764
976021,9/24/2014 10:36:00,40.7292,-74.0001,B02764
916587,9/14/2014 19:03:00,40.7911,-73.9725,B02764
292755,9/2/2014 20:29:00,40.7206,-73.9855,B02617
594873,9/26/2014 4:55:00,40.7493,-73.9766,B02617
134295,9/13/2014 2:07:00,40.8136,-73.9611,B02598
318573,9/4/2014 19:22:00,40.7248,-74.0058,B02617
632847,9/29/2014 7:17:00,40.7154,-74.0159,B02617
789918,9/21/2014 0:08:00,40.7078,-73.7657,B02682
735204,9/13/2014 9:41:00,40.7292,-73.9818,B02682
284061,9/2/2014 6:44:00,40.7731,-73.9623,B02617
746289,9/14/2014 19:29:00,40.6417,-73.7889,B02682
348953,9/6/2014 18:30:00,40.7274,-74.0016,B02617
275755,9/1/2014 3:49:00,40.7473,-74.0031,B02617
908127,9/13/2014 14:47:00,40.7759,-73.957,B02764
43782,9/2/2014 17:55:00,40.7638,-73.9695,B02598
395725,9/10/2014 12:22:00,40.7349,-73.9831,B02617
506895,9/18/2014 19:35:00,40.76,-73.9945,B02617
55381,9/4/2014 8:06:00,40.7075,-74.0022,B02598
209898,9/22/2014 6:43:00,40.7355,-74.004,B02598
150607,9/15/2014 3:54:00,40.7707,-73.9683,B02598
870083,9/6/2014 0:48:00,40.882,-73.8636,B02764
740034,9/13/2014 20:10:00,40.6171,-74.0108,B02682
631333,9/29/2014 0:53:00,40.7142,-73.9558,B02617
807773,9/24/2014 8:13:00,40.7462,-73.9449,B02682
547394,9/21/2014 19:49:00,40.7196,-73.9624,B02617
745307,9/14/2014 16:29:00,40.7731,-73.8856,B02682
204226,9/21/2014 6:48:00,40.7551,-73.9729,B02598
538655,9/20/2014 23:51:00,40.7392,-73.995,B02617
549022,9/22/2014 1:07:00,40.6634,-73.9914,B02617
543438,9/21/2014 12:55:00,40.7253,-74.0092,B02617
470957,9/16/2014 6:02:00,40.6458,-73.7767,B02617
467064,9/15/2014 18:09:00,40.6328,-73.9678,B02617
532673,9/20/2014 17:12:00,40.7445,-73.9964,B02617
512200,9/19/2014 6:21:00,40.6382,-73.9734,B02617
451499,9/14/2014 8:50:00,40.707,-74.0165,B02617
1017046,9/29/2014 14:17:00,40.7616,-73.9728,B02764
1004499,9/27/2014 19:55:00,40.7587,-73.9932,B02764
132563,9/12/2014 22:22:00,40.7778,-73.9796,B02598
410613,9/11/2014 15:14:00,40.6448,-73.7822,B02617
472298,9/16/2014 7:58:00,40.7497,-73.9917,B02617
522715,9/19/2014 21:11:00,40.7702,-73.9648,B02617
1011406,9/28/2014 15:53:00,40.7495,-73.9795,B02764
706185,9/9/2014 7:25:00,40.7767,-73.9509,B02682
49291,9/3/2014 14:34:00,40.7514,-74.0067,B02598
963872,9/22/2014 8:00:00,40.7857,-73.9727,B02764
861071,9/4/2014 10:28:00,40.7238,-73.9762,B02764
13301,9/11/2014 11:17:00,40.7562,-73.9705,B02512
274920,9/30/2014 22:46:00,40.8476,-73.8583,B02598
5490,9/5/2014 16:18:00,40.752,-73.976,B02512
175679,9/18/2014 8:15:00,40.7704,-73.8652,B02598
877685,9/7/2014 15:54:00,40.7483,-73.9887,B02764
662785,9/3/2014 6:52:00,40.7643,-73.9799,B02682
324818,9/5/2014 7:42:00,40.7825,-73.9491,B02617
146489,9/14/2014 12:41:00,40.653,-73.7867,B02598
875012,9/6/2014 23:10:00,40.7125,-73.9647,B02764
54514,9/4/2014 5:37:00,40.7089,-73.9685,B02598
372450,9/8/2014 15:32:00,40.7563,-73.9814,B02617
856658,9/3/2014 7:27:00,40.6917,-73.9696,B02764
727905,9/12/2014 10:02:00,40.7653,-73.9813,B02682
164454,9/16/2014 19:46:00,40.6464,-73.7901,B02598
622751,9/28/2014 5:31:00,40.7086,-74.0064,B02617
849151,9/30/2014 20:49:00,40.7439,-74.0064,B02682
963696,9/22/2014 7:18:00,40.8059,-73.9363,B02764
851427,9/1/2014 15:20:00,40.7739,-73.8716,B02764
676710,9/5/2014 5:21:00,40.7347,-74.0001,B02682
862059,9/4/2014 15:26:00,40.742,-73.9936,B02764
124115,9/12/2014 2:21:00,40.7325,-74.0051,B02598
974534,9/24/2014 3:39:00,40.747,-73.981,B02764
358118,9/7/2014 10:26:00,40.8422,-73.9422,B02617
771672,9/18/2014 18:05:00,40.8651,-73.9078,B02682
936210,9/18/2014 9:12:00,40.7266,-73.9957,B02764
472174,9/16/2014 7:51:00,40.8881,-73.9123,B02617
731175,9/12/2014 19:02:00,40.7511,-73.9865,B02682
563482,9/23/2014 13:46:00,40.7548,-73.9866,B02617
435756,9/13/2014 8:46:00,40.7156,-73.956,B02617
581112,9/25/2014 0:11:00,40.701,-73.9202,B02617
603335,9/26/2014 19:32:00,40.6566,-73.8073,B02617
470191,9/15/2014 23:54:00,40.7393,-74.0014,B02617
619345,9/27/2014 22:37:00,40.7129,-73.959,B02617
500090,9/18/2014 11:27:00,40.7802,-73.9473,B02617
611047,9/27/2014 12:17:00,40.7517,-73.9398,B02617
790265,9/21/2014 0:51:00,40.7639,-73.9741,B02682
189422,9/19/2014 17:35:00,40.7467,-73.9902,B02598
611316,9/27/2014 12:51:00,40.7447,-73.9829,B02617
490972,9/17/2014 17:17:00,40.7336,-74.0015,B02617
883266,9/8/2014 22:29:00,40.7416,-74.0048,B02764
872356,9/6/2014 15:45:00,40.7592,-73.9946,B02764
334145,9/5/2014 19:13:00,40.7197,-74.0043,B02617
304209,9/3/2014 19:22:00,40.7588,-73.9725,B02617
136545,9/13/2014 13:07:00,40.7806,-73.9855,B02598
915659,9/14/2014 16:19:00,40.7847,-73.9502,B02764
73332,9/5/2014 23:44:00,40.728,-73.9911,B02598
186855,9/19/2014 12:28:00,40.7699,-73.9916,B02598
424261,9/12/2014 14:37:00,40.7602,-73.9697,B02617
455133,9/14/2014 16:04:00,40.7067,-74.0086,B02617
835083,9/28/2014 11:27:00,40.7247,-74.0022,B02682
588731,9/25/2014 16:10:00,40.7729,-73.8856,B02617
852930,9/2/2014 1:33:00,40.807,-73.9476,B02764
929502,9/17/2014 7:40:00,40.6738,-73.964,B02764
211586,9/22/2014 12:30:00,40.8647,-73.8287,B02598
58135,9/4/2014 15:14:00,40.6944,-73.9983,B02598
72131,9/5/2014 21:51:00,40.7313,-74.0039,B02598
64749,9/5/2014 7:53:00,40.729,-73.9783,B02598
401573,9/10/2014 19:22:00,40.7358,-73.9834,B02617
182814,9/18/2014 21:49:00,40.7442,-74.0027,B02598
188965,9/19/2014 16:57:00,40.7795,-73.9456,B02598
452892,9/14/2014 12:11:00,40.7736,-73.9557,B02617
12993,9/11/2014 1:02:00,40.7607,-73.9782,B02512
947082,9/19/2014 19:24:00,40.6814,-73.9754,B02764
140532,9/13/2014 18:44:00,40.7232,-73.9991,B02598
914654,9/14/2014 12:44:00,40.7284,-73.9997,B02764
793429,9/21/2014 16:25:00,40.6365,-73.921,B02682
810971,9/24/2014 18:49:00,40.7646,-73.9827,B02682
910294,9/13/2014 18:48:00,40.7146,-74.0384,B02764
186911,9/19/2014 12:42:00,40.7745,-73.9615,B02598
529083,9/20/2014 11:58:00,40.7841,-73.9763,B02617
726771,9/12/2014 6:37:00,40.6796,-73.8579,B02682
151690,9/15/2014 7:56:00,40.7556,-73.9818,B02598
110053,9/10/2014 14:54:00,40.7572,-73.9737,B02598
556335,9/22/2014 18:33:00,40.7024,-73.9838,B02617
79196,9/6/2014 17:38:00,40.7158,-74.0119,B02598
996185,9/26/2014 21:44:00,40.7368,-73.9999,B02764
171104,9/17/2014 17:36:00,40.7449,-73.9808,B02598
540320,9/21/2014 1:53:00,40.7171,-74.0095,B02617
833430,9/28/2014 1:01:00,40.7028,-73.9195,B02682
969539,9/23/2014 8:59:00,40.6578,-73.9786,B02764
870304,9/6/2014 2:09:00,40.7407,-74.0077,B02764
394521,9/10/2014 9:47:00,40.7496,-74.0045,B02617
964993,9/22/2014 12:43:00,40.7582,-73.9929,B02764
249621,9/27/2014 14:24:00,40.7314,-74.0035,B02598
943143,9/19/2014 8:39:00,40.7517,-74.0022,B02764
494269,9/17/2014 20:44:00,40.769,-73.963,B02617
545299,9/21/2014 16:18:00,40.7456,-73.9946,B02617
686690,9/6/2014 10:34:00,40.7062,-73.9282,B02682
659655,9/2/2014 16:07:00,40.7514,-73.9796,B02682
650315,9/30/2014 19:23:00,40.7623,-73.9683,B02617
199040,9/20/2014 18:09:00,40.7494,-73.9829,B02598
911644,9/13/2014 21:30:00,40.778,-73.9457,B02764
675227,9/4/2014 21:20:00,40.7617,-74.0004,B02682
146250,9/14/2014 11:54:00,40.8843,-73.8978,B02598
997728,9/27/2014 0:18:00,40.7343,-74.0029,B02764
161200,9/16/2014 13:55:00,40.7648,-73.9808,B02598
493717,9/17/2014 20:09:00,40.764,-73.9762,B02617
12045,9/10/2014 13:01:00,40.7572,-73.9719,B02512
773648,9/18/2014 21:32:00,40.76,-73.9586,B02682
813059,9/25/2014 6:39:00,40.7258,-74.0029,B02682
970924,9/23/2014 14:57:00,40.7473,-74.0073,B02764
420557,9/12/2014 7:41:00,40.7212,-73.9564,B02617
411360,9/11/2014 16:07:00,40.7486,-74.0081,B02617
320203,9/4/2014 20:53:00,40.6636,-73.9179,B02617
142072,9/13/2014 20:49:00,40.7449,-74.0016,B02598
706175,9/9/2014 7:23:00,40.7531,-73.9957,B02682
103256,9/9/2014 17:48:00,40.758,-73.9708,B02598
821785,9/26/2014 13:13:00,40.7638,-73.9748,B02682
57528,9/4/2014 13:54:00,40.7857,-73.982,B02598
558143,9/22/2014 21:29:00,40.7424,-74.0007,B02617
530263,9/20/2014 14:06:00,40.7558,-73.9804,B02617
697361,9/7/2014 18:12:00,40.7146,-73.9548,B02682
683257,9/5/2014 20:47:00,40.7149,-74.016,B02682
991706,9/26/2014 14:12:00,40.786,-73.9491,B02764
668250,9/3/2014 22:34:00,40.7574,-73.9752,B02682
290937,9/2/2014 18:01:00,40.7136,-74.0087,B02617
38014,9/1/2014 19:43:00,40.7076,-74.0099,B02598
560816,9/23/2014 7:46:00,40.7315,-74.0015,B02617
344028,9/6/2014 13:09:00,40.7157,-73.9536,B02617
710443,9/9/2014 19:15:00,40.7448,-73.9951,B02682
852532,9/1/2014 20:52:00,40.7409,-74.0076,B02764
90358,9/7/2014 23:14:00,40.7341,-74.0004,B02598
932582,9/17/2014 17:53:00,40.7276,-73.995,B02764
828461,9/27/2014 13:12:00,40.7184,-73.9854,B02682
641801,9/30/2014 5:14:00,40.7253,-73.9955,B02617
358202,9/7/2014 10:36:00,40.7174,-73.9994,B02617
208847,9/21/2014 22:25:00,40.7187,-74.0013,B02598
139604,9/13/2014 17:34:00,40.7532,-73.9705,B02598
247660,9/27/2014 7:30:00,40.72,-74.0001,B02598
204124,9/21/2014 5:27:00,40.7466,-73.9938,B02598
874495,9/6/2014 21:46:00,40.6721,-74.0107,B02764
960082,9/21/2014 13:05:00,40.6777,-73.9498,B02764
424132,9/12/2014 14:25:00,40.745,-73.9939,B02617
761417,9/17/2014 8:48:00,40.7425,-73.9821,B02682
822783,9/26/2014 16:23:00,40.7615,-73.9728,B02682
797705,9/22/2014 12:44:00,40.6934,-73.9843,B02682
388716,9/9/2014 19:48:00,40.7439,-74.0064,B02617
122763,9/11/2014 21:11:00,40.7142,-74.0149,B02598
828770,9/27/2014 14:08:00,40.7473,-73.9564,B02682
690336,9/6/2014 19:05:00,40.759,-73.9859,B02682
824666,9/26/2014 20:31:00,40.6899,-73.9922,B02682
716826,9/10/2014 18:20:00,40.7613,-73.9731,B02682
71811,9/5/2014 21:24:00,40.76,-73.9825,B02598
249019,9/27/2014 12:39:00,40.822,-73.8575,B02598
421622,9/12/2014 9:28:00,40.7224,-73.9833,B02617
114922,9/10/2014 23:51:00,40.6868,-73.977,B02598
75455,9/6/2014 10:13:00,40.7606,-73.9991,B02598
92198,9/8/2014 9:00:00,40.7759,-73.9763,B02598
798252,9/22/2014 14:55:00,40.7534,-73.9867,B02682
817183,9/25/2014 17:19:00,40.7547,-73.9801,B02682
208573,9/21/2014 21:23:00,40.6448,-73.7819,B02598
802784,9/23/2014 11:12:00,40.7281,-73.9993,B02682
637692,9/29/2014 17:06:00,40.7344,-73.9938,B02617
1015572,9/29/2014 9:03:00,40.6792,-73.9956,B02764
53134,9/3/2014 21:21:00,40.7739,-73.8718,B02598
385474,9/9/2014 16:25:00,40.7632,-73.9744,B02617
1019438,9/29/2014 20:00:00,40.7534,-73.9889,B02764
569418,9/23/2014 22:25:00,40.7583,-73.9895,B02617
747723,9/15/2014 6:11:00,40.7328,-74.0044,B02682
903441,9/12/2014 19:46:00,40.7275,-74.0012,B02764
350695,9/6/2014 20:09:00,40.7172,-73.9757,B02617
488315,9/17/2014 13:57:00,40.7634,-73.9591,B02617
130784,9/12/2014 19:42:00,40.7542,-73.9846,B02598
537583,9/20/2014 22:43:00,40.7298,-74.004,B02617
787391,9/20/2014 18:59:00,40.759,-73.9726,B02682
289200,9/2/2014 15:57:00,40.726,-73.9949,B02617
246319,9/26/2014 23:46:00,40.7564,-73.9902,B02598
931291,9/17/2014 14:47:00,40.7637,-73.9561,B02764
855166,9/2/2014 17:51:00,40.7369,-73.9958,B02764
399230,9/10/2014 17:10:00,40.7629,-73.8046,B02617
5429,9/5/2014 15:43:00,40.7612,-73.9668,B02512
739741,9/13/2014 19:39:00,40.7084,-74.0042,B02682
348647,9/6/2014 18:13:00,40.7882,-73.9675,B02617
874184,9/6/2014 20:51:00,40.6477,-74.0084,B02764
780810,9/19/2014 20:32:00,40.7265,-74.009,B02682
991493,9/26/2014 13:28:00,40.6335,-73.9569,B02764
761164,9/17/2014 8:06:00,40.7107,-73.9655,B02682
147628,9/14/2014 15:42:00,40.7152,-73.9579,B02598
805061,9/23/2014 18:57:00,40.7296,-73.9784,B02682
482469,9/16/2014 21:54:00,40.7266,-74.0074,B02617
957931,9/21/2014 1:16:00,40.7273,-73.9939,B02764
740525,9/13/2014 21:09:00,40.7211,-73.9828,B02682
580268,9/24/2014 21:54:00,40.7374,-73.9975,B02617
330919,9/5/2014 16:38:00,40.7349,-74.0061,B02617
214061,9/22/2014 19:26:00,40.7943,-73.9638,B02598
670827,9/4/2014 11:05:00,40.708,-74.0082,B02682
478071,9/16/2014 16:47:00,40.6891,-73.9551,B02617
334767,9/5/2014 19:42:00,40.7583,-73.966,B02617
253512,9/27/2014 21:37:00,40.7482,-73.9522,B02598
242852,9/26/2014 17:40:00,40.7577,-73.9697,B02598
341764,9/6/2014 8:25:00,40.7424,-73.9852,B02617
471511,9/16/2014 6:59:00,40.8042,-74.4895,B02617
208508,9/21/2014 21:09:00,40.7231,-74.008,B02598
1004902,9/27/2014 20:35:00,40.7238,-73.855,B02764
937985,9/18/2014 15:48:00,40.7664,-73.992,B02764
