,Lat,Lon,Base,hour,weekday
29346,40.746,-73.9725,0,17,2
348626,40.7374,-73.9991,3,21,4
443133,40.7265,-73.9864,3,9,6
107983,40.7745,-73.96,1,11,5
440041,40.7566,-73.9903,3,21,5
444327,40.7704,-73.8647,3,14,6
289232,40.6853,-73.9847,2,11,1
230783,40.7805,-73.9461,2,8,0
120874,40.7572,-73.9664,1,13,4
109705,40.7554,-73.9795,1,16,5
151940,40.7497,-74.0526,1,7,6
448687,40.7386,-74.0305,3,2,4
507298,40.7457,-73.9945,3,16,0
328586,40.7713,-73.986,3,10,5
432892,40.7232,-73.9939,3,23,1
40751,40.7043,-74.0097,1,11,6
310414,40.7364,-73.9849,2,23,2
399362,40.7324,-73.9768,3,7,4
119067,40.7532,-73.9838,1,6,4
426568,40.7156,-74.0139,3,18,3
208680,40.7182,-73.9553,1,11,6
335102,40.7613,-73.9709,3,10,6
447373,40.7639,-73.9293,3,20,6
16254,40.695,-74.1781,0,14,1
164219,40.7222,-73.9867,1,19,4
364956,40.7667,-73.9712,3,16,2
145985,40.7397,-74.0026,1,8,5
339994,40.7668,-73.9675,3,21,6
540972,40.787,-73.9558,3,22,5
419059,40.794,-73.9744,3,17,2
317712,40.767,-73.9845,2,15,5
430105,40.7241,-73.9962,3,14,1
77321,40.779,-73.9579,1,11,6
124735,40.7189,-74.0066,1,21,4
153184,40.7549,-73.9724,1,12,6
88395,40.7896,-73.9774,1,11,0
140974,40.7406,-74.0005,1,6,1
460183,40.7372,-73.9984,3,15,0
67438,40.7236,-74.0108,1,13,1
22519,40.7123,-74.0089,0,11,3
483778,40.7324,-73.9892,3,17,5
209806,40.746,-73.9822,1,13,6
50904,40.7519,-73.9851,1,11,0
60835,40.763,-73.9838,1,21,2
325785,40.7527,-73.9672,2,20,6
235467,40.7218,-73.9581,2,0,2
372469,40.7519,-73.9693,3,10,3
201714,40.7056,-74.0135,1,17,5
237550,40.7591,-73.9611,2,18,2
384004,40.7565,-73.982,3,21,1
339826,40.7582,-73.9734,3,21,6
90767,40.7691,-73.9828,1,18,0
14084,40.7084,-74.0149,0,3,2
194380,40.719,-74.007,1,16,1
213661,40.7482,-73.9396,1,17,6
457915,40.7203,-73.9543,3,8,0
64923,40.7884,-73.9782,1,18,3
68336,40.7648,-73.9705,1,16,1
201579,40.746,-73.9719,1,17,5
411822,40.7465,-73.9839,3,17,0
400379,40.7095,-74.0063,3,10,4
165557,40.7709,-73.8659,1,21,4
404710,40.7241,-74.0033,3,19,4
346732,40.6738,-74.017,3,19,4
374221,40.6948,-74.1777,3,16,3
223059,40.7259,-73.9989,2,10,6
436923,40.7276,-74.0072,3,16,5
318982,40.7552,-73.9827,2,18,5
530067,40.6466,-73.7897,3,15,1
71741,40.8852,-73.9111,1,7,5
470866,40.746,-73.9416,3,9,3
16161,40.7554,-73.9952,0,11,1
94068,40.7459,-73.9765,1,10,2
44741,40.6448,-73.7818,1,8,4
479745,40.7403,-74.0059,3,2,5
367855,40.7031,-73.986,3,21,2
188774,40.7686,-73.8626,1,15,3
96988,40.7432,-73.9914,1,19,2
419897,40.7199,-73.9884,3,19,2
160675,40.7505,-73.9796,1,12,4
397480,40.7696,-73.9504,3,21,6
352394,40.7586,-73.9725,3,10,0
452384,40.7286,-74.0071,3,16,4
554404,40.7345,-74.0031,3,23,6
100633,40.6758,-73.9829,1,12,3
338241,40.7547,-73.9989,3,18,6
167678,40.721,-74.0041,1,7,0
306247,40.7301,-74.0004,2,23,0
63364,40.749,-73.9997,1,10,3
491146,40.7158,-74.0066,3,17,6
1574,40.7711,-73.9661,0,14,6
177914,40.7638,-73.9917,1,9,2
366986,40.7898,-73.9734,3,19,2
321125,40.7197,-73.9869,2,8,6
34241,40.7417,-73.9958,0,14,6
417999,40.7234,-73.9563,3,15,2
430292,40.7796,-73.9527,3,14,1
267376,40.7294,-73.9869,2,13,1
436799,40.791,-73.9712,3,16,5
278261,40.7091,-74.01,2,15,4
230507,40.7328,-74.0014,2,7,0
135267,40.7455,-74.0048,1,19,2
1056,40.7341,-74.0096,0,5,6
408849,40.7435,-73.9963,3,10,0
245522,40.7388,-73.9883,2,21,1
120602,40.7047,-73.9344,1,12,4
266200,40.6794,-73.9836,2,21,3
542710,40.7256,-73.9999,3,7,6
426088,40.7667,-73.9848,3,17,3
408516,40.7182,-74.0015,3,9,0
340970,40.7754,-73.9903,3,5,4
335807,40.7739,-73.8726,3,13,6
213927,40.7216,-73.9978,1,18,6
519973,40.7456,-73.9572,3,21,2
60915,40.7272,-74.0046,1,21,2
335124,40.7746,-73.9633,3,10,6
361388,40.7316,-74.001,3,23,0
170494,40.7401,-74.0058,1,16,0
262332,40.7755,-73.9585,2,17,2
518546,40.7789,-73.956,3,18,2
214479,40.79,-73.9785,1,18,6
448052,40.7631,-73.9741,3,22,6
206242,40.6858,-73.9839,1,6,6
217594,40.7042,-74.0093,1,21,6
254842,40.7214,-73.9475,2,17,4
539071,40.7739,-73.8715,3,19,5
253230,40.6592,-73.9534,2,8,4
427316,40.7466,-73.9937,3,21,3
495912,40.7306,-73.9497,3,9,4
513294,40.7422,-74.0042,3,2,2
289202,40.7661,-73.9571,2,11,1
287242,40.7401,-73.9801,2,13,3
280397,40.717,-74.0091,2,23,4
217953,40.7609,-73.9871,1,22,6
478222,40.7456,-74.0068,3,18,1
54167,40.7581,-73.9723,1,19,0
3704,40.7568,-73.9926,0,22,4
251353,40.6458,-73.7766,2,17,6
31937,40.7246,-74.0022,0,6,5
186549,40.746,-73.9904,1,2,3
154588,40.7468,-73.9816,1,16,6
81118,40.7254,-74.0092,1,6,4
524992,40.732,-74.0034,3,15,3
399114,40.7745,-73.9902,3,6,4
482883,40.7584,-73.973,3,16,5
488285,40.7532,-73.9898,3,10,6
83872,40.7601,-73.9718,1,16,4
100928,40.7642,-73.9731,1,14,3
445104,40.7638,-73.9734,3,16,6
248214,40.7278,-74.0043,2,18,5
165407,40.7156,-74.0155,1,21,4
557213,40.755,-73.9864,4,17,5
395969,40.6419,-73.7886,3,17,6
416188,40.7833,-73.9828,3,7,2
222903,40.7539,-73.9741,2,9,6
41604,40.7536,-73.9788,1,15,6
437723,40.7227,-73.9933,3,17,5
129769,40.7247,-73.9985,1,19,0
487326,40.7782,-73.9782,3,7,6
106255,40.768,-73.9586,1,21,1
532055,40.7383,-73.9894,3,20,1
410639,40.7624,-73.9829,3,15,0
199925,40.7617,-73.9728,1,14,5
468914,40.7371,-74.0291,3,21,2
502031,40.6727,-73.99,3,21,4
127724,40.7387,-73.9917,1,13,0
461710,40.8069,-73.9554,3,18,0
145376,40.7236,-74.0037,1,5,5
254048,40.7539,-73.9961,2,13,4
413326,40.7639,-73.9938,3,20,0
543791,40.7692,-73.9886,3,9,6
386121,40.7805,-73.9462,3,8,5
351728,40.7386,-73.9738,3,8,0
295994,40.7709,-73.8657,2,17,6
269454,40.6989,-73.931,2,8,5
459600,40.752,-73.9852,3,14,0
515798,40.7262,-73.98,3,14,2
202128,40.7528,-74.0066,1,17,5
60078,40.7218,-73.9945,1,19,2
150454,40.7497,-73.9752,1,21,5
91099,40.7357,-74.0067,1,19,0
147045,40.7754,-73.9903,1,13,5
357078,40.7667,-73.9785,3,18,0
457774,40.7984,-73.9728,3,7,0
477283,40.7245,-73.9914,3,15,1
489394,40.7238,-73.9414,3,14,6
446384,40.7594,-73.9795,3,18,6
204661,40.7692,-73.9814,1,21,5
374821,40.7273,-73.9524,3,18,3
80072,40.7269,-74.001,1,20,6
458066,40.6739,-73.9727,3,8,0
52101,40.6955,-73.9918,1,15,0
389768,40.7607,-73.9991,3,19,5
417575,40.6813,-73.9559,3,14,2
12222,40.7318,-73.9934,0,18,4
529371,40.7439,-73.9718,3,12,1
431981,40.76,-73.9761,3,19,1
479592,40.7333,-74.0064,3,23,1
204152,40.783,-73.953,1,20,5
60526,40.7366,-73.9908,1,21,2
381254,40.7451,-73.9807,3,17,1
162043,40.7574,-74.001,1,16,4
251398,40.7427,-73.9922,2,17,6
102812,40.8079,-73.9595,1,4,1
215865,40.7396,-74.0065,1,19,6
326550,40.7807,-73.9812,2,22,6
286419,40.6794,-73.9681,2,0,3
499191,40.727,-73.9948,3,17,4
156045,40.7505,-74.0058,1,18,6
245203,40.7556,-73.9751,2,19,1
457904,40.733,-73.9779,3,8,0
393680,40.7242,-73.9978,3,12,6
187951,40.7206,-73.9857,1,13,3
14592,40.7731,-73.9664,0,18,2
126094,40.7189,-74.0024,1,5,0
514347,40.7111,-73.9587,3,9,2
245316,40.7632,-73.9773,2,20,1
381182,40.7665,-73.9883,3,17,1
357938,40.7423,-73.9849,3,19,0
354955,40.7685,-73.8625,3,16,0
204357,40.7231,-74.0399,1,21,5
464776,40.7046,-74.0089,3,3,2
4211,40.7695,-73.9962,0,10,0
532054,40.6877,-74.1815,3,20,1
458482,40.7745,-73.9638,3,10,0
503072,40.703,-74.0112,3,1,0
32332,40.7339,-73.9806,0,13,5
507493,40.6466,-73.7897,3,16,0
319511,40.7814,-73.9807,2,20,5
295163,40.7442,-73.99,2,13,6
471134,40.762,-73.9662,3,10,3
308598,40.7637,-73.9787,2,17,2
488149,40.7219,-74.0078,3,10,6
287936,40.7504,-73.9911,2,19,3
521954,40.7188,-74.0048,3,0,3
296713,40.7526,-73.9731,2,19,6
192648,40.7963,-73.9687,1,10,1
154033,40.7178,-74.0143,1,15,6
212605,40.7369,-73.9554,1,16,6
20118,40.7194,-73.9974,0,19,4
358961,40.7202,-73.9874,3,20,0
512118,40.7193,-74.0087,3,23,0
249428,40.7284,-73.9848,2,6,6
53465,40.7577,-73.9867,1,18,0
124870,40.7232,-74.0076,1,21,4
197412,40.7864,-73.9698,1,6,5
509166,40.7411,-73.9957,3,19,0
232826,40.6723,-73.9821,2,17,0
213285,40.7575,-73.985,1,17,6
377488,40.7774,-73.955,3,8,1
171803,40.764,-73.9786,1,18,0
237011,40.7818,-73.9473,2,16,2
62623,40.7222,-73.9865,1,1,3
238267,40.7074,-74.0029,2,21,2
459200,40.7545,-73.9753,3,13,0
316832,40.7072,-74.0078,2,8,5
537610,40.7103,-74.0111,3,17,5
60732,40.7635,-73.9832,1,21,2
45403,40.7231,-74.007,1,13,4
441475,40.7364,-73.987,3,0,6
357047,40.7626,-73.9768,3,18,0
108541,40.7354,-73.988,1,13,5
1399,40.6948,-74.1777,0,11,6
103880,40.7548,-73.9715,1,10,1
468899,40.7211,-73.9924,3,21,2
314359,40.6877,-73.9801,2,11,1
111267,40.8224,-73.9407,1,19,5
362053,40.7788,-73.9587,3,2,2
327990,40.7548,-73.9867,3,8,5
461920,40.736,-74.0095,3,19,0
210955,40.7549,-73.9844,1,15,6
327126,40.7392,-74.0026,3,5,5
422693,40.7188,-73.9892,3,0,3
100555,40.6901,-73.9133,1,12,3
39092,40.7228,-73.9879,1,22,5
177689,40.7214,-73.9781,1,7,2
119392,40.7303,-73.9798,1,7,4
120366,40.7231,-74.0023,1,11,4
466344,40.7604,-73.9639,3,14,2
116120,40.7476,-73.9804,1,17,6
287524,40.7672,-73.9794,2,15,3
357630,40.7818,-73.9756,3,19,0
490356,40.7499,-73.9703,3,16,6
171580,40.7617,-73.9749,1,17,0
246613,40.7775,-73.946,2,8,5
523862,40.7665,-73.9608,3,11,3
397080,40.7439,-74.0063,3,20,6
304756,40.7461,-74.0003,2,18,0
407311,40.7292,-73.9872,3,5,0
495227,40.7366,-73.9787,3,7,4
42528,40.7532,-74.0258,1,18,6
505391,40.7282,-73.9819,3,12,0
74167,40.7842,-73.9549,1,17,5
373325,40.7712,-73.9834,3,14,3
516123,40.77,-73.8648,3,15,2
279635,40.7215,-73.995,2,20,4
50310,40.7405,-73.9812,1,8,0
536465,40.7171,-74.0142,3,15,5
10007,40.7336,-74.002,0,19,5
533304,40.7981,-73.9325,3,5,5
252714,40.7553,-73.9812,2,3,4
344848,40.757,-73.9936,3,16,4
221544,40.7596,-73.9779,2,20,5
202910,40.7525,-73.9674,1,18,5
143212,40.7552,-73.9868,1,16,1
242583,40.7188,-74.0025,2,8,1
348091,40.7255,-73.9923,3,21,4
292105,40.7581,-73.9752,2,15,5
188185,40.748,-73.9855,1,13,3
130851,40.7508,-74.0296,1,21,0
524108,40.7698,-73.9941,3,12,3
27391,40.7712,-73.9614,0,7,0
221585,40.7568,-73.9744,2,20,5
72473,40.7611,-73.9949,1,10,5
490098,40.7765,-73.9895,3,16,6
125354,40.7343,-74.0072,1,23,4
506574,40.7334,-73.9955,3,15,0
558469,40.7693,-73.9951,4,15,2
543433,40.7797,-73.9561,3,9,6
53959,40.6939,-73.9874,1,18,0
172906,40.7093,-74.0105,1,19,0
79438,40.7036,-74.0102,1,18,6
134540,40.7859,-73.9849,1,17,2
207274,40.6606,-73.9951,1,8,6
191889,40.787,-73.9681,1,7,1
350540,40.7472,-73.9802,3,6,0
557310,40.7433,-74.005,4,23,5
81977,40.7369,-73.9961,1,9,4
126665,40.8121,-73.9397,1,8,0
472659,40.7706,-73.8654,3,16,3
317298,40.7671,-73.9816,2,13,5
247711,40.7578,-73.9736,2,16,5
547607,40.7099,-73.6916,3,16,6
391602,40.6877,-74.1816,3,5,6
92606,40.6413,-73.9544,1,22,0
333280,40.7664,-73.9783,3,4,6
254240,40.6445,-73.7833,2,14,4
388937,40.7435,-73.986,3,17,5
275001,40.7029,-74.0118,2,17,6
372121,40.7243,-73.9831,3,9,3
383168,40.7598,-73.9741,3,20,1
156599,40.7586,-73.9771,1,19,6
211798,40.7669,-73.9668,1,16,6
216216,40.7449,-73.983,1,20,6
395445,40.762,-73.9747,3,17,6
557591,40.7766,-73.9556,4,20,6
15611,40.7262,-73.9918,0,16,3
157288,40.7614,-73.9819,1,20,6
5021,40.7024,-73.9874,0,18,0
490894,40.73,-74.0083,3,17,6
405613,40.7703,-73.8668,3,21,4
279762,40.7072,-74.0044,2,21,4
349363,40.7382,-74.0084,3,23,4
240018,40.6717,-73.8686,2,10,3
153384,40.7531,-73.9812,1,13,6
360965,40.76,-73.9768,3,23,0
540763,40.7678,-73.9823,3,21,5
303307,40.7312,-74.0083,2,12,0
128321,40.725,-74.0075,1,15,0
37691,40.7446,-73.9833,1,16,5
305975,40.7715,-73.9615,2,22,0
194007,40.7544,-73.9918,1,15,1
265003,40.7709,-73.9618,2,12,3
547393,40.7459,-73.9864,3,15,6
248998,40.7376,-74.0082,2,21,5
29002,40.79,-73.9665,0,13,2
535372,40.7559,-73.9915,3,12,5
379252,40.7427,-74.0071,3,15,1
81841,40.7388,-74.0081,1,8,4
520839,40.8051,-73.9547,3,22,2
157686,40.7273,-74.0008,1,21,6
370905,40.7375,-74.0058,3,1,3
282329,40.7421,-73.9948,2,17,0
433713,40.7198,-73.9996,3,7,5
11583,40.7047,-74.009,0,9,4
396206,40.7566,-73.9824,3,18,6
237895,40.719,-73.9642,2,20,2
458235,40.6734,-73.9171,3,9,0
458076,40.7813,-73.961,3,8,0
537703,40.7513,-73.9755,3,17,5
376634,40.782,-73.9461,3,6,1
349400,40.7267,-73.9957,3,23,4
237547,40.7095,-74.0149,2,18,2
48998,40.7488,-73.9909,1,22,4
422426,40.7248,-73.9946,3,23,2
13612,40.7528,-73.9832,0,19,0
538067,40.7044,-73.9866,3,17,5
299520,40.7169,-74.0048,2,15,4
199049,40.7152,-73.9515,1,12,5
541756,40.7238,-74.0035,3,5,6
257577,40.7822,-73.9767,2,10,0
365667,40.7899,-73.9769,3,17,2
424886,40.7216,-74.0111,3,13,3
453164,40.7614,-73.9999,3,17,4
415715,40.7561,-73.9774,3,2,2
107073,40.7837,-73.9737,1,7,5
320393,40.716,-74.0103,2,5,6
340985,40.6828,-73.9783,3,5,4
187182,40.7772,-73.9753,1,9,3
421829,40.7072,-73.9544,3,22,2
326603,40.7074,-74.0082,2,22,6
419169,40.7644,-73.9849,3,17,2
301623,40.7449,-73.9977,2,22,4
312688,40.6466,-73.8935,2,17,3
